구분,명칭,멸종등급
포유류,붉은박쥐,1
포유류,늑대,1
포유류,여우,1
포유류,표범,1
포유류,호랑이,1
포유류,시라소니,1
포유류,수달,1
포유류,바다사자,1
조류,노랑부리백로,1
조류,황새,1
조류,노랑부리저어새,1
조류,저어새,1
조류,혹고니,1
조류,흰꼬리수리,1
조류,참수리,1
조류,검독수리,1
조류,매,1
조류,두루미,1
조류,넓적부리도요,1
조류,청다리도요사촌,1
조류,크낙새,1
양서파충류,구렁이,1
어류,감돌고기,1
어류,흰수마자,1
어류,얼룩새코미꾸리,1
어류,미호종개,1
어류,꼬치동자개,1
어류,퉁사리,1
곤충류,장수하늘소,1
곤충류,두점박이사슴벌레,1
곤충류,수염풍뎅이,1
곤충류,상제나비,1
곤충류,산굴뚝나비,1
무척추동물,나팔고둥,1
무척추동물,귀이빨대칭이,1
무척추동물,두드럭조개,1
무척추동물,남방방게,1
무척추동물,칼세오리옆새우,1
식물,섬개야광나무,1
식물,죽백란,1
식물,한란,1
식물,나도풍란,1
식물,풍란,1
식물,광릉요강꽃,1
식물,암매,1
식물,만년꽃,1
포유류,삵,2
포유류,담비,2
포유류,물개,2
포유류,큰바다사자,2
포유류,물범,2
포유류,물범류,2
포유류,하늘다람쥐,2
포유류,토끼박쥐,2
포유류,작은관코박쥐,2
포유류,무산쇠족제비,2
조류,큰덤불해오라기,2
조류,붉은해오라기,2
조류,먹황새,2
조류,흑기러기,2
조류,큰기러기,2
조류,흰이마기러기,2
조류,개리,2
조류,큰고니,2
조류,고니,2
조류,가창오리,2
조류,붉은가슴흰죽지,2
조류,호사비오리,2
조류,물수리,2
조류,벌매,2
조류,솔개,2
조류,참매,2
조류,조롱이,2
조류,털발말똥가리,2
조류,큰말똥가리,2
조류,말똥가리,2
조류,항라머리검독수리,2
조류,흰죽지수리,2
조류,독수리,2
조류,잿빛개구리매,2
조류,알락개구리매,2
조류,개구리매,2
조류,새홀리기,2
조류,쇠황조롱이,2
조류,비둘기조롱이,2
조류,검은목두루미,2
조류,시베리아흰두루미,2
조류,청호반새,2
조류,흑두루미,2
양서파충류,맹꽁이,2
양서파충류,금개구리,2
양서파충류,남생이,2
양서파충류,표범장지뱀,2
양서파충류,비바리뱀,2
어류,칠성장어,2
어류,다묵장어,2
어류,묵납자루,2
어류,임실납자루,2
어류,가는돌고기,2
어류,꾸구리,2
어류,돌상어,2
어류,모래주사,2
어류,가시고기,2
어류,독중개,2
어류,한둑중개,2
어류,잔가시고기,2
곤충류,꼬마잠자리,2
곤충류,고려집게벌레,2
곤충류,물장군,2
곤충류,주홍길앞잡이,2
곤충류,닻무늬길앞잡이,2
곤충류,멋조롱박딱정벌레,2
곤충류,소똥구리,2
곤충류,애기뿔소똥구리,2
곤충류,큰자색호랑꽃무지,2
곤충류,비단벌레,2
곤충류,울도하늘소,2
곤충류,붉은점모시나비,2
곤충류,깊은산부전나비,2
곤충류,쌍꼬리부전나비,2
곤충류,왕은점표범나비,2
무척추동물,별혹산호,2
무척추동물,측맵시산호,2
무척추동물,망상맵시산호,2
무척추동물,둔한진총산호,2
무척추동물,착생깃산호,2
무척추동물,깃산호,2
무척추동물,흰수지맨드라미,2
무척추동물,밤수지맨드라미,2
무척추동물,연수지맨드라미,2
무척추동물,자색수지맨드라미,2
무척추동물,검붉은수지맨드라미,2
무척추동물,유착나무돌산호,2
무척추동물,잔가지나무돌산호,2
무척추동물,진홍나팔돌산호,2
무척추동물,해송,2
무척추동물,장수삿간조개,2
무척추동물,대추귀고둥,2
무척추동물,기수갈고둥,2
무척추동물,참달팽이,2
무척추동물,긴꼬리투구새우,2
무척추동물,갯게,2
무척추동물,선침거미불가사리,2
무척추동물,의염통성게,2
무척추동물,붉은발말똥성게,2
식물,솔잎란,2
식물,물부추,2
식물,제주고사리삼,2
식물,파초일엽,2
식물,삼백초,2
식물,죽절초,2
식물,개가시나무,2
식물,순채,2
식물,가시연꽃,2
식물,연잎꿩의다리,2
식물,세뿔투구꽃,2
식물,백부자,2
식물,산작약,2
식물,매화마름,2
식물,깽깽이풀,2
식물,한계령풀,2
식물,끈끈이귀개,2
식물,둥근잎꿩의비름,2
식물,개병풍,2
식물,나도승마,2
식물,히어리,2
식물,개느삼,2
식물,애기등,2
식물,황기,2
식물,갯대추,2
식물,망개나무,2
식물,황근,2
식물,왕제비꽃,2
식물,선제비꽃,2
식물,가시오갈피나무,2
식물,독미나리,2
식물,섬시호,2
식물,노랑만병초,2
식물,홍월귤,2
식물,기생꽃,2
식물,박달목서,2
식물,미선나무,2
식물,조름나무,2
식물,섬현삼,2
식물,자주땅귀개,2
식물,무주나무,2
식물,솜다리,2
식물,단양쑥부쟁이,2
식물,큰연령초,2
식물,자주솜대,2
식물,층층둥글레,2
식물,솔나리,2
식물,진노랑상사화,2
식물,노랑무늬붓꽃,2
식물,노랑붓꽃,2
식물,대청부채,2
식물,털복주머니란,2
식물,으름난초,2
식물,백운란,2
식물,대흥란,2
식물,지네발란,2
식물,삼나무말(해조류),2
